매장명,주소,위도,경도
GS타워,서울특별시 강남구 논현로 508 (역삼동) 1522-3232,37.5018592,127.0372776
KT광화문웨스트B1F,서울특별시 종로구 세종대로 178 (세종로) 1522-3232,37.5721422,126.9779548
가든파이브,서울특별시 송파구 충민로 10 (문정동) 가든파이브툴 1522-3232,37.47797468,127.1211852
가락본동,서울특별시 송파구 송파대로30길 13 (가락동) 1522-3232,37.49481239,127.1188348
가락시장역,"서울특별시 송파구 중대로 121, 롯데캐슬 파인힐 1층 (가락동) 1522-3232",37.49442876,127.1217432
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동) 1522-3232",37.5231593,127.021625
가산디지털,"서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층 1522-3232",37.47997009,126.8825072
가산디지털단지역,"서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층 1522-3232",37.48135375,126.8835891
가산브이타워,"서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층 1522-3232",37.4770041,126.8835506
가산어반워크,서울특별시 금천구 가산디지털2로 135 (가산동) 1522-3232,37.48002317,126.878251
가산에스케이,"서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층 1522-3232",37.48082409,126.8810008
가산케이에스,"서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층 1522-3232",37.48089352,126.8851557
가산퍼블릭,"서울특별시 금천구 디지털로 178 (가산동), B동 F Park 1층 1522-3232",37.47574363,126.886848
가산현대아울렛,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부 1522-3232",37.47768044,126.8888406
가양역,서울특별시 강서구 양천로 476 (등촌동) 1522-3232,37.56164,126.853327
가양역사거리,"서울특별시 강서구 화곡로 416 (등촌동) 가양더스카이벨리5차 지식산업센터 101, 102, 114,~117호 1522-3232",37.56007,126.855372
가재울뉴타운,"서울특별시 서대문구 가재울미래로 2 (남가좌동, DMC파크뷰자이2단지별동상가1층) 1522-3232",37.57507214,126.9163599
강남GT타워,"서울특별시 서초구 서초대로 411, GT타워 (서초동) 1522-3232",37.49790791,127.0261626
강남R,서울특별시 강남구 강남대로 390 (역삼동) 1522-3232,37.497711,127.028439
강남교보타워R,서울특별시 서초구 강남대로 465 (서초동) 1522-3232,37.50371078,127.0243353
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동) 1522-3232",37.5165849,127.0412433
강남구청정문,서울특별시 강남구 학동로 419 (청담동) 1522-3232,37.518181,127.045995
강남논현,서울특별시 강남구 강남대로 512 (논현동) 1522-3232,37.50789786,127.0233386
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동) 1522-3232",37.50314,127.025546
강남대로신사,서울특별시 서초구 강남대로 595 (잠원동) 1522-3232,37.51489,127.019469
강남르피에드,"서울특별시 서초구 서운로 136 (서초동), 1층 1호,2호,3호,4호 1522-3232",37.49567462,127.0251613
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동) 1522-3232",37.4964557,127.0296885
강남서초초교,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동) 1522-3232",37.5000875,127.0254909
강남세곡,서울특별시 강남구 헌릉로569길 18 (세곡동) 1522-3232,37.46727432,127.0999297
강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동) 1522-3232,37.46699381,127.1183308
강남에비뉴,"서울특별시 서초구 서초대로77길 62, 강남역아이파크 B102~B105 (서초동) 1522-3232",37.50257781,127.0241059
강남역5번출구호정빌딩,서울특별시 서초구 서초대로78길 38 (서초동) 1522-3232,37.49454216,127.0282986
강남역7번출구,서울특별시 서초구 강남대로 385 (서초동) 1522-3232,37.49706068,127.0274118
강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동) 1522-3232,37.49705725,127.0281807
강남역우송빌딩,서울특별시 서초구 서초대로73길 7 (서초동) 1522-3232,37.49813146,127.0252791
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동) 1522-3232,37.502117,127.026672
강남우성,서울특별시 강남구 강남대로 328 (역삼동) 1522-3232,37.492396,127.03091
강남자곡,서울특별시 강남구 자곡로 172 (자곡동) 107~109호 1522-3232,37.47306371,127.1024473
강남차여성병원,서울특별시 강남구 봉은사로 156 (역삼동) 1522-3232,37.50640319,127.0318113
강남청담빌딩,서울특별시 강남구 선릉로 704 (청담동) 1522-3232,37.517887,127.041375
강남파이낸스센터,서울특별시 강남구 테헤란로 152 (역삼동) 1522-3232,37.49993577,127.0368478
강동강일,서울특별시 강동구 아리수로93나길 54 (강일동) 1522-3232,37.57219484,127.17494
강동구청DT,서울특별시 강동구 성내로 32 (성내동) 1522-3232,37.52938777,127.1238477
강동그란츠,"서울특별시 강동구 천호대로 1050 (성내동) 근생 1-6, 1-7 1522-3232",37.536825,127.12861
강동암사DT,서울특별시 강동구 고덕로 43 (암사동) 1522-3232,37.55507323,127.1299223
강동역,"서울특별시 강동구 천호대로 1089 (천호동, 강동 헤르셔) 1522-3232",37.536047,127.133086
강변,서울특별시 광진구 구의강변로 46 (구의동) 1522-3232,37.53474181,127.0919732
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동) 1522-3232,37.63998786,127.0274331
강북삼성병원,서울특별시 종로구 새문안로 29 (평동) C관 5층 1522-3232,37.56831941,126.966942
강북삼성병원1층,서울특별시 종로구 새문안로 29 (평동) A관 1층 1522-3232,37.568546,126.96756
강서NC,서울특별시 강서구 강서로56길 17 (등촌동) 1522-3232,37.55978003,126.8399835
강서구청사거리,서울특별시 강서구 화곡로 350 (화곡동) 1522-3232,37.5549266,126.8523133
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/120호 1522-3232",37.54661115,126.8361133
강일역,"서울특별시 강동구 고덕로 429 (강일동), 1층 1522-3232",37.55747469,127.1735107
개포동,서울특별시 강남구 선릉로 34 (개포동) 1522-3232,37.48285514,127.0607152
갤러리아팰리스,"서울특별시 송파구 올림픽로 212, 갤러리아 팰리스 (잠실동) 1522-3232",37.511561,127.093616
건국대,서울특별시 광진구 능동로 117 (화양동) 1522-3232,37.54154747,127.0711558
건국클래식,서울특별시 광진구 능동로 90 (자양동) 더 클래식500 1522-3232,37.538466,127.071271
건대로데오,"서울특별시 광진구 아차산로 212 (자양동, 더포디엄830) 1522-3232",37.54079664,127.0667289
건대스타시티,서울특별시 광진구 아차산로 262 (자양동) 1522-3232,37.538544,127.073009
건대입구,서울특별시 광진구 능동로 107 (화양동) 1522-3232,37.5406604,127.0707225
건대후문,서울특별시 광진구 능동로 172 (화양동) 1522-3232,37.54603056,127.0738193
경기대,서울특별시 서대문구 충정로 53 (충정로2가) 1522-3232,37.56367995,126.9646045
경동1960,서울특별시 동대문구 고산자로36길 3 (제기동) 1522-3232,37.5796141,127.038685
경리단길,서울특별시 용산구 회나무로 3 (이태원동) 1522-3232,37.53854,126.98737
경복궁사거리,"서울특별시 종로구 율곡로 6, B동 101호(중학동, 트윈트리타워) 1522-3232",37.57561594,126.9802374
경복궁역,"서울특별시 종로구 자하문로4길 6, 1층 (통의동) 1522-3232",37.5771508,126.9727453
경희궁로,서울특별시 종로구 새문안로3길 15 (당주동) 1522-3232,37.571759,126.972343
경희대,서울특별시 동대문구 경희대로 16-1 (회기동) 1522-3232,37.5928812,127.0528085
경희대삼거리,서울특별시 동대문구 회기로 141 (회기동) 1522-3232,37.591531,127.052017
경희의료원,서울특별시 동대문구 경희대로 23 (회기동) 1522-3232,37.5935445,127.052009
고대,서울특별시 성북구 고려대로24길 51 (안암동5가) 1522-3232,37.583925,127.029594
고대안암병원,서울특별시 성북구 고려대로 73 (안암동5가) 1522-3232,37.586874,127.02811
고척아이파크,"서울특별시 구로구 경인로43길 49 (고척동, 고척아이파크), 1층 D-101호 1522-3232",37.49930563,126.8582209
공덕,서울특별시 마포구 마포대로 130 (공덕동) 1522-3232,37.545913,126.952956
공덕오거리,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩 1522-3232,37.5424641,126.9505773
공릉DT,서울특별시 노원구 동일로 1015 (공릉동) 1522-3232,37.6206884,127.0743116
공릉역,서울특별시 노원구 동일로 1081 (공릉동) 1522-3232,37.626337,127.072252
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동) 1522-3232,37.47932481,126.952702
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동) 1522-3232",37.54737112,127.1060487
광운대,서울특별시 노원구 석계로 104 (월계동) 1522-3232,37.62317425,127.0608065
광장,서울특별시 광진구 아차산로 537-17 (광장동) 1522-3232,37.54261258,127.0996405
